"covid_region","AGE_GROUP_MIN","POPULATION"
1,"0",80154
1,"10",90115
1,"20",88827
1,"30",77142
1,"40",82054
1,"50",92036
1,"60",80148
1,"70",47653
1,"80",29931
2,"0",157434
2,"10",168739
2,"20",166077
2,"30",161206
2,"40",153661
2,"50",168297
2,"60",145426
2,"70",84356
2,"80",55382
3,"0",77229
3,"10",81610
3,"20",80192
3,"30",79096
3,"40",79862
3,"50",95531
3,"60",83255
3,"70",50359
3,"80",32887
4,"0",80764
4,"10",83825
4,"20",84419
4,"30",85683
4,"40",82529
4,"50",95947
4,"60",77632
4,"70",45198
4,"80",28113
5,"0",47862
5,"10",50699
5,"20",54792
5,"30",48345
5,"40",49282
5,"50",56848
5,"60",52344
5,"70",33028
5,"80",20175
6,"0",75000
6,"10",89076
6,"20",106647
6,"30",79668
6,"40",72008
6,"50",85879
6,"60",74978
6,"70",45304
6,"80",29326
7,"0",102486
7,"10",123104
7,"20",98924
7,"30",100197
7,"40",116729
7,"50",112377
7,"60",80511
7,"70",41874
7,"80",23556
8,"0",187974
8,"10",203890
8,"20",180990
8,"30",190497
8,"40",197750
8,"50",209820
8,"60",159370
8,"70",83283
8,"80",49008
9,"0",125353
9,"10",153030
9,"20",123677
9,"30",117836
9,"40",141842
9,"50",153408
9,"60",108839
9,"70",56181
9,"80",31242
10,"0",308881
10,"10",326484
10,"20",294523
10,"30",321766
10,"40",326259
10,"50",349177
10,"60",288159
10,"70",158867
10,"80",107964
11,"0",336166
11,"10",313962
11,"20",494045
11,"30",461626
11,"40",343938
11,"50",320565
11,"60",249400
11,"70",140063
11,"80",81874
