date,new_deaths,cumulative_deaths,source,confirmed_covid_icu,suspected_covid_icu,agmean4_new_deaths,weekend
2020-03-19,3,3,COVID Tracking,NA,NA,1.8284271247461898,0
2020-03-20,1,4,COVID Tracking,NA,NA,1.8284271247461898,0
2020-03-21,1,5,COVID Tracking,NA,NA,2.5565588200778455,1
2020-03-22,3,8,COVID Tracking,NA,NA,3.2294850537622564,1
2020-03-23,3,11,COVID Tracking,NA,NA,4.029733718731741,0
2020-03-24,4,15,COVID Tracking,NA,NA,5.160140576482046,0
2020-03-25,3,18,COVID Tracking,NA,NA,6.96856520746051,0
2020-03-26,7,25,COVID Tracking,NA,NA,10.76395984080401,0
2020-03-27,8,33,COVID Tracking,NA,NA,11.115508981165455,0
2020-03-28,13,46,COVID Tracking,NA,NA,14.944906523804388,1
2020-03-29,18,64,COVID Tracking,NA,NA,20.10848589078611,1
2020-03-30,8,72,COVID Tracking,NA,NA,19.52962009056309,0
2020-03-31,26,98,COVID Tracking,NA,NA,31.130591838503037,0
2020-04-01,42,140,COVID Tracking,NA,NA,33.03670522455511,0
2020-04-02,16,156,COVID Tracking,NA,NA,30.613158890809014,0
2020-04-03,53,209,COVID Tracking,NA,NA,36.594593480661594,0
2020-04-04,33,242,COVID Tracking,NA,NA,39.67568571322573,1
2020-04-05,31,273,COVID Tracking,NA,NA,49.843410755608495,1
2020-04-06,33,306,COVID Tracking,NA,NA,60.159775554900285,0
2020-04-07,73,379,COVID Tracking,NA,NA,71.99757389253254,0
2020-04-08,82,461,COVID Tracking,NA,NA,73.89519563659968,0
2020-04-09,66,527,COVID Tracking,NA,NA,62.906878560394745,0
2020-04-10,68,595,COVID Tracking,NA,NA,64.73462969478267,0
2020-04-11,81,676,COVID Tracking,NA,NA,66.11927610831603,1
2020-04-12,43,719,COVID Tracking,NA,NA,65.91370163860155,1
2020-04-13,74,793,COVID Tracking,NA,NA,85.87191389662021,0
2020-04-14,74,867,COVID Tracking,NA,NA,82.16665056994142,0
2020-04-15,80,947,COVID Tracking,NA,NA,93.68398579790222,0
2020-04-16,124,1071,COVID Tracking,NA,NA,74.06591305845463,0
2020-04-17,62,1133,COVID Tracking,NA,NA,61.48173503494501,0
2020-04-18,125,1258,COVID Tracking,NA,NA,72.40290618875024,1
2020-04-19,31,1289,COVID Tracking,NA,NA,67.93299333101379,1
2020-04-20,59,1348,COVID Tracking,NA,NA,95.71527350710663,0
2020-04-21,119,1467,COVID Tracking,NA,NA,111.02454550129916,0
2020-04-22,97,1564,COVID Tracking,NA,NA,100.22560376845617,0
2020-04-23,123,1687,COVID Tracking,NA,NA,88.54094416787903,0
2020-04-24,107,1794,COVID Tracking,NA,NA,70.70654411245081,0
2020-04-25,79,1873,COVID Tracking,NA,NA,75.91957265285676,1
2020-04-26,59,1932,COVID Tracking,NA,NA,78.437343824529,1
2020-04-27,50,1982,COVID Tracking,NA,NA,97.35392130592308,0
2020-04-28,142,2124,COVID Tracking,NA,NA,116.24880951048473,0
2020-04-29,90,2214,COVID Tracking,NA,NA,107.01491758130632,0
2020-04-30,140,2354,COVID Tracking,NA,NA,96.3332451167387,0
2020-05-01,102,2456,COVID Tracking,NA,NA,72.1576174802586,0
2020-05-02,102,2558,COVID Tracking,NA,NA,82.76132983764577,1
2020-05-03,59,2617,COVID Tracking,NA,NA,88.95274056657298,1
2020-05-04,44,2661,COVID Tracking,NA,NA,109.77617325157911,0
2020-05-05,176,2837,COVID Tracking,NA,NA,143.69750872916293,0
2020-05-06,136,2973,COVID Tracking,NA,NA,127.18120849030356,0
2020-05-07,137,3110,COVID Tracking,NA,NA,102.39540016814288,0
2020-05-08,130,3240,COVID Tracking,NA,NA,80.77675754442475,0
2020-05-09,108,3348,COVID Tracking,NA,NA,82.58841152831593,1
2020-05-10,57,3405,COVID Tracking,NA,NA,95.29744288813404,1
2020-05-11,53,3458,COVID Tracking,NA,NA,118.38173829642149,0
2020-05-12,142,3600,COVID Tracking,NA,NA,147.990055607547,0
2020-05-13,191,3791,COVID Tracking,NA,NA,124.50366169744558,0
2020-05-14,136,3927,COVID Tracking,NA,NA,88.20313337924266,0
2020-05-15,130,4057,COVID Tracking,NA,NA,NA,0
2020-05-16,71,4128,COVID Tracking,NA,NA,NA,1
2020-05-17,48,4176,COVID Tracking,NA,NA,NA,1
