time,icu_report_1,icu_report_2,icu_report_3,icu_report_4,icu_report_5
71,0.231706631,0.133429828,0.496558699,0.197859964,NA
72,0.251689613,0.156592262,0.521245606,0.228099464,0.530830115
73,0.271267067,0.179125394,0.545211402,0.257524522,0.550973373
74,0.290441225,0.200989453,0.568434837,0.286119068,0.5705604
75,0.309214318,0.222144667,0.590894661,0.313867033,0.589579872
76,0.327588575,0.242551268,0.612569626,0.340752346,0.608020469
77,0.345566229,0.262169485,0.63343848,0.366758936,0.625870868
78,0.36314951,0.280959546,0.653479976,0.391870734,0.643119746
79,0.380340649,0.298881683,0.672672862,0.41607167,0.65975578
80,0.397141877,0.315896123,0.69099589,0.439345672,0.67576765
81,0.413555425,0.331963097,0.70842781,0.461676672,0.691144031
82,0.429595055,0.347023125,0.724947579,0.48305155,0.705873603
83,0.445267832,0.361093134,0.740572731,0.50348658,0.7199459
84,0.460565941,0.374247961,0.755339879,0.523009776,0.733371607
85,0.475481569,0.386562447,0.769285637,0.541649154,0.746171121
86,0.4900069,0.398111431,0.782446618,0.55943273,0.758364841
87,0.504134121,0.408969752,0.794859436,0.57638852,0.769973165
88,0.517855416,0.419212249,0.806560705,0.592544538,0.781016492
89,0.531162972,0.428913762,0.817587037,0.607928802,0.791515219
90,0.544048973,0.43814913,0.827975048,0.622569325,0.801489746
91,0.556505606,0.446993191,0.837761349,0.636494124,0.810960469
92,0.568525055,0.455520786,0.846982555,0.649731214,0.819947789
93,0.580116754,0.462642629,0.855067144,0.661770978,0.828472102
94,0.591297543,0.467487463,0.861561048,0.67221028,0.836221191
95,0.602070724,0.470457174,0.866677063,0.681236865,0.842944859
96,0.612439599,0.471953648,0.870627984,0.689038476,0.848756535
97,0.622407469,0.47237877,0.873626605,0.695802856,0.853769651
98,0.631977635,0.472134426,0.875885721,0.701717748,0.858097637
99,0.641153399,0.471622501,0.877618127,0.706970896,0.861853923
100,0.649938061,0.47124488,0.879036619,0.711750043,0.86515194
101,0.658334923,0.471403449,0.88035399,0.716242931,0.868105119
102,0.666347287,0.472500093,0.881783037,0.720637305,0.870826889
103,0.673978452,0.474936697,0.883536555,0.725120907,0.873430682
104,0.681207769,0.478282104,0.885137455,0.729158616,0.876029928
105,0.688017374,0.481832244,0.886041695,0.73219753,0.878341975
106,0.694414754,0.485579636,0.886361637,0.734398722,0.880062523
107,0.700407397,0.4895168,0.886209642,0.735923263,0.881272533
108,0.706002791,0.493636254,0.88569807,0.736932225,0.882052964
109,0.711208421,0.497930519,0.884939284,0.737586682,0.882484775
110,0.716031775,0.502392114,0.884045645,0.738047705,0.882648926
111,0.72048034,0.507013559,0.883129513,0.738476366,0.882626376
112,0.724561603,0.511787372,0.882303251,0.739033738,0.882498086
113,0.728283052,0.516706074,0.88167922,0.739880893,0.882345015
114,0.731652172,0.521762183,0.88136978,0.741178903,0.882248122
115,0.734287837,0.527831609,0.88117042,0.742712501,0.882288367
116,0.73591395,0.535528377,0.880811129,0.744147958,0.882241449
117,0.736695549,0.544452184,0.880306023,0.745468657,0.88185621
118,0.736797668,0.554202727,0.87966922,0.746657977,0.881173323
119,0.736385343,0.564379702,0.878914835,0.747699302,0.880233461
120,0.735623612,0.574582806,0.878056985,0.748576013,0.879077297
121,0.734677509,0.584411734,0.877109785,0.749271491,0.877745504
122,0.733712071,0.593466184,0.876087352,0.749769118,0.876278754
123,0.732892334,0.601345851,0.875003802,0.750052275,0.874717721
124,0.732383333,0.607650433,0.873873252,0.750104344,0.873103078
125,0.732350105,0.611979625,0.872709817,0.749908707,0.871475498
126,0.732667964,0.614901842,0.871540209,0.749921729,0.869875653
127,0.733056046,0.617266753,0.870364587,0.750449806,0.868231414
128,0.733445125,0.619095941,0.869157243,0.75125137,0.866452672
129,0.733765973,0.620410986,0.867892467,0.752084852,0.86455313
130,0.733949361,0.62123347,0.86654455,0.752708681,0.862546494
131,0.733926063,0.621584974,0.865087784,0.75288129,0.860446466
132,0.733626851,0.621487079,0.863496458,0.752361108,0.858266751
133,0.732982498,0.620961367,0.861744864,0.750906566,0.856021054
134,0.731923775,0.620029418,0.859807292,0.748276096,0.853723078
135,0.730381455,0.618712815,0.857658034,0.744228126,0.851386528
136,0.728286311,0.617033138,0.85527138,0.73852109,0.849025107
137,0.725791008,0.61493872,0.852701608,0.731676816,0.84665252
138,0.723086156,0.612366321,0.850017036,0.724349868,0.844235862
139,0.720159446,0.609320165,0.847213015,0.71649778,0.841735066
140,0.71699857,0.605804475,0.844284896,0.708078082,0.83915309
141,0.713591217,0.601823474,0.841228031,0.699048306,0.836492895
142,0.709925079,0.597381385,0.838037771,0.689365985,0.83375744
143,0.705987847,0.592482433,0.834709467,0.67898865,0.830949685
144,0.70176721,0.58713084,0.831238472,0.667873832,0.828072589
145,0.69725086,0.58133083,0.827620135,0.655979065,0.825129111
146,0.692426488,0.575086626,0.82384981,0.643261879,0.822122212
147,0.687281784,0.568402452,0.819922846,0.629679807,0.81905485
148,0.681810114,0.56129917,0.815838105,0.615236456,0.815929985
149,0.676016202,0.553792264,0.811598689,0.59997284,0.812745154
150,0.66990477,0.545877891,0.807206313,0.583902597,0.809495286
151,0.663480544,0.537552205,0.80266269,0.567039364,0.806179429
152,0.656748248,0.528811361,0.797969535,0.549396778,0.802796635
153,0.649712607,0.519651515,0.793128561,0.530988479,0.799345953
154,0.642378344,0.510068823,0.788141482,0.511828103,0.795826431
155,0.634750185,0.500059438,0.783010012,0.491929288,0.792237121
156,0.626832854,0.489619517,0.777735865,0.471305673,0.788577072
157,0.618631075,0.478745215,0.772320756,0.449970894,0.784845334
158,0.610149573,0.467432686,0.766766398,0.427938591,0.781040955
