,beta1,beta2_1,beta2_2,beta2_3,num_init_1,num_init_2,num_init_3,loglik,loglik_se,lik,num_sims,nparticles,n_reps
1,0.035690002,0.015229248,0.012423401,0.013707092,189,240,5986,-752.6813611,21.12404414,1,111,10000,5
2,0.036827728,0.016185913,0.011744537,0.014021576,111,312,5338,-756.3484777,16.41067949,0.025550035,42,10000,5
3,0.037653137,0.016591553,0.011721497,0.013694641,131,389,5312,-757.2065766,1.369418352,0.01083238,8,10000,5
4,0.038508118,0.016507568,0.011401672,0.013259583,121,369,5463,-757.5574286,4.88373673,0.007626949,7,10000,5
5,0.037609558,0.015961182,0.013302917,0.013737488,151,316,5443,-757.6044714,4.663628536,0.007276464,6,10000,5
6,0.037512024,0.016741943,0.013608704,0.013974426,154,302,4935,-757.6544941,11.20846846,0.00692143,10,10000,5
7,0.04134906,0.013331299,0.012234802,0.014334412,174,264,3959,-758.0487698,15.24585621,0.004666207,4,10000,5
8,0.036308411,0.015892334,0.011413879,0.01333429,169,393,6076,-759.4140545,3.011823387,0.00119132,6,10000,5
9,0.037397888,0.016385986,0.010857849,0.013941833,123,400,5406,-759.4561148,1.545095923,0.001142252,2,10000,5
10,0.042907532,0.013831787,0.012851868,0.013461731,189,174,3966,-760.1668473,23.4251467,0.00056117,2,10000,5
11,0.039376068,0.015898804,0.012928619,0.014263275,146,295,4548,-760.4825867,10.63210511,0.000409233,1,10000,5
12,0.040255432,0.015959717,0.011002502,0.013733459,137,347,4724,-760.5843215,4.418071449,0.000369648,1,10000,5
